image;path.tif;folder;subfolder;ext;fileName.tif;specimenNR.tif;formation;path.txt;InstructName;SemVersion;SDMVersion;SerialNumber;DataNumber;SampleName;Format;ImageName;Directory;Date;Time;Media;DataSize;PixelSize;SignalName;DisplaySignalName;SEDetSetting;AcceleratingVoltage;DecelerationVoltage;DecelerationMode;Magnification;WorkingDistance;EmissionCurrent;PhotoSize;MagnificationDisplay;Vacuum;MicronMarker;SubMagnification;SubSignalName;SpecimenBias;Condencer1;ScanSpeed;CaptureSpeed_Integration;CalibrationScanSpeed;ImgEnhance;ColorMode;ColorPalette;ScreenMode;Comment;KeyWord1;KeyWord2;Condition;DataDisplayCombine;StageType;StagePositionX;StagePositionY;StagePositionR;StagePositionZ;StagePositionT;FocusDepth;DynamicFocus;TiltCompensation;ImageShiftX;ImageShiftY;RasterRotation;MagneticSample;UserName;Vacc;Mag;WD;LensMode;fileName.txt;specimenNR.txt;ImageNameCheck;AV.fileName;mag.fileName;magCheck;AVCheck
001_CC_1_15v_x30;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/KAH/001_CC_1_15v_x30.tif;Sara;KAH;tif;001_CC_1_15v_x30.tif;001CC;NKBS;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/KAH/001_CC_1_15v_x30.txt;TM4000;01-Feb;NA;177008-10;TM4000 0001;NA;tif;001_CC_1_15v_x30.tif;C:\Sara\;08/03/2022;10:15:49;HD[Windows];2560x1920;1653.646;BSE;BSE;NA;15000 Volt;0 Volt;NA;30;16847.17 um;53000 nA;1000;0;30;1000000;0;NA;0 V;9230;Capture_Slow(80);NA;24;0;Grayscale;NA;Full Screen;001_CC_1_15v_x30;NA;NA;Vacc 15.0kV Mag x30 WD 16.8mm LensMode 3;1;0;17500000;17500000;0;0;0;NA;0;0;NA;NA;54.8;NA;***;15.0kV;x30;16.8mm;3;001_CC_1_15v_x30.txt;001CC;TRUE;15;30;TRUE;TRUE
001_CC_1_15v_x30_BSE;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/001_CC_1_15v_x30_BSE.tif;Stegs;NONE;tif;001_CC_1_15v_x30_BSE.tif;001CC;NKBS;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/001_CC_1_15v_x30_BSE.txt;TM4000;01-Feb;NA;177008-10;TM4000 0001;NA;tif;001_CC_1_15v_x30_BSE.tif;C:\Stegs\Mali SEM\;01/31/2018;11:35:40;HD[Windows];2560x1920;1653.646;BSE;BSE;NA;15000 Volt;0 Volt;NA;30;6185.56 um;52000 nA;1000;0;30;1000000;0;NA;0 V;9230;Capture_Slow(80);NA;24;0;Grayscale;NA;Full Screen;NA;NA;NA;Vacc 15.0kV Mag x30 WD 6.2mm LensMode 3;1;0;17500000;17500000;0;0;0;NA;0;0;NA;NA;-80.7;NA;***;15.0kV;x30;6.2mm;3;001_CC_1_15v_x30_BSE.txt;001CC;TRUE;15;30;TRUE;TRUE
001_CC_2_15v_x30;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/KAH/001_CC_2_15v_x30.tif;Sara;KAH;tif;001_CC_2_15v_x30.tif;001CC;NKBS;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/KAH/001_CC_2_15v_x30.txt;TM4000;01-Feb;NA;177008-10;TM4000 0001;NA;tif;001_CC_2_15v_x30.tif;C:\Sara\;08/03/2022;10:35:30;HD[Windows];2560x1920;1653.646;BSE;BSE;NA;15000 Volt;0 Volt;NA;30;19742.22 um;54000 nA;1000;0;30;1000000;0;NA;0 V;9230;Capture_Slow(80);NA;24;0;Grayscale;NA;Full Screen;001_CC_2_15v_x30;NA;NA;Vacc 15.0kV Mag x30 WD 19.7mm LensMode 3;1;0;17500000;17500000;0;0;0;NA;0;0;NA;NA;84.7;NA;***;15.0kV;x30;19.7mm;3;001_CC_2_15v_x30.txt;001CC;TRUE;15;30;TRUE;TRUE
001_CC_2_15v_x30_BSE;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/001_CC_2_15v_x30_BSE.tif;Stegs;NONE;tif;001_CC_2_15v_x30_BSE.tif;001CC;NKBS;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/001_CC_2_15v_x30_BSE.txt;TM4000;01-Feb;NA;177008-10;TM4000 0001;NA;tif;001_CC_2_15v_x30_BSE.tif;C:\Stegs\Mali SEM\;01/31/2018;11:39:00;HD[Windows];2560x1920;1653.646;BSE;BSE;NA;15000 Volt;0 Volt;NA;30;6346.52 um;52000 nA;1000;0;30;1000000;0;NA;0 V;9230;Capture_Slow(80);NA;24;0;Grayscale;NA;Full Screen;NA;NA;NA;Vacc 15.0kV Mag x30 WD 6.3mm LensMode 3;1;0;17500000;17500000;0;0;0;NA;0;0;NA;NA;-21.2;NA;***;15.0kV;x30;6.3mm;3;001_CC_2_15v_x30_BSE.txt;001CC;TRUE;15;30;TRUE;TRUE
001i_CC_1_5v_x30_BSE;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/001i_CC_1_5v_x30_BSE.tif;Stegs;NONE;tif;001i_CC_1_5v_x30_BSE.tif;001iCC;NKBS;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/001i_CC_1_5v_x30_BSE.txt;TM4000;01-Feb;NA;177008-10;TM4000 0001;NA;tif;001i_CV_1_5v_x30_BSE.tif;C:\Stegs\Mali SEM\;03/09/2018;10:41:43;HD[Windows];2560x1920;1653.646;BSE;BSE;NA;5000 Volt;0 Volt;NA;30;7928.28 um;59000 nA;1000;0;1;1000000;0;NA;0 V;11240;Capture_Slow(80);NA;24;0;Grayscale;NA;Full Screen;MNH_002_BLEED39;NA;NA;Vacc 5.0kV Mag x30 WD 7.9mm LensMode 4;1;0;17500000;17500000;0;0;0;NA;0;0;NA;NA;16.4;NA;***;5.0kV;x30;7.9mm;4;001i_CC_1_5v_x30_BSE.txt;001iCC;FALSE;5;30;TRUE;TRUE
001i_CC_2_5v_x30_BSE;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/001i_CC_2_5v_x30_BSE.tif;Stegs;NONE;tif;001i_CC_2_5v_x30_BSE.tif;001iCC;NKBS;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/001i_CC_2_5v_x30_BSE.txt;TM4000;01-Feb;NA;177008-10;TM4000 0001;NA;tif;001i_CV_2_5v_x30_BSE.tif;C:\Stegs\Mali SEM\;03/09/2018;10:45:03;HD[Windows];2560x1920;1653.646;BSE;BSE;NA;5000 Volt;0 Volt;NA;30;7485.8 um;59000 nA;1000;0;1;1000000;0;NA;0 V;11240;Capture_Slow(80);NA;24;0;Grayscale;NA;Full Screen;MNH_002_BLEED39;NA;NA;Vacc 5.0kV Mag x30 WD 7.5mm LensMode 4;1;0;17500000;17500000;0;0;0;NA;0;0;NA;NA;-4;NA;***;5.0kV;x30;7.5mm;4;001i_CC_2_5v_x30_BSE.txt;001iCC;FALSE;5;30;TRUE;TRUE
002_CV_1_15v_x30;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/002_CV_1_15v_x30.tif;Sara;NONE;tif;002_CV_1_15v_x30.tif;002CV;NKBS;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/002_CV_1_15v_x30.txt;TM4000;01-Feb;NA;177008-10;TM4000 0001;NA;tif;002_CV_1_15v_x30.tif;C:\Sara\;08/03/2022;11:13:30;HD[Windows];2560x1920;1653.646;BSE;BSE;NA;15000 Volt;0 Volt;NA;30;8322.35 um;52000 nA;1000;0;30;1000000;0;NA;0 V;9230;Capture_Slow(80);NA;24;0;Grayscale;NA;Full Screen;002_CV_1_15v_x30;NA;NA;Vacc 15.0kV Mag x30 WD 8.3mm LensMode 3;1;0;17500000;17500000;0;0;0;NA;0;0;NA;NA;-179.5;NA;***;15.0kV;x30;8.3mm;3;002_CV_1_15v_x30.txt;002CV;TRUE;15;30;TRUE;TRUE
002i_CV_1_15v_x30_BSE;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs2/Nukumaru Brown Sand/002i_CV_1_15v_x30_BSE.tif;Stegs2;Nukumaru Brown Sand;tif;002i_CV_1_15v_x30_BSE.tif;002iCV;NKBS;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs2/Nukumaru Brown Sand/002i_CV_1_15v_x30_BSE.txt;TM4000;01-Feb;NA;177008-10;TM4000 0001;NA;tif;002i_CV_1_15v_x30_BSE.tif;C:\Stegs2\Nukumaru Brown Sand\;10/10/2018;14:23:49;HD[Windows];2560x1920;1653.646;BSE;BSE;NA;15000 Volt;0 Volt;NA;30;6278.97 um;108000 nA;1000;0;30;1000000;0;NA;0 V;11240;Capture_Slow(80);NA;24;0;Grayscale;NA;Full Screen;MHR.1308.BLEED.819;NA;NA;Vacc 15.0kV Mag x30 WD 6.3mm LensMode 4;1;0;17500000;17500000;0;0;0;NA;0;0;NA;NA;179.3;NA;***;15.0kV;x30;6.3mm;4;002i_CV_1_15v_x30_BSE.txt;002iCV;TRUE;15;30;TRUE;TRUE
002i_CV_2_15v_x30_BSE;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs2/Nukumaru Brown Sand/002i_CV_2_15v_x30_BSE.tif;Stegs2;Nukumaru Brown Sand;tif;002i_CV_2_15v_x30_BSE.tif;002iCV;NKBS;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs2/Nukumaru Brown Sand/002i_CV_2_15v_x30_BSE.txt;TM4000;01-Feb;NA;177008-10;TM4000 0001;NA;tif;002i_CV_2_15v_x30_BSE.tif;C:\Stegs2\Nukumaru Brown Sand\;10/10/2018;14:26:19;HD[Windows];2560x1920;1653.646;BSE;BSE;NA;15000 Volt;0 Volt;NA;30;6951.29 um;106000 nA;1000;0;30;1000000;0;NA;0 V;11240;Capture_Slow(80);NA;24;0;Grayscale;NA;Full Screen;MHR.1308.BLEED.819;NA;NA;Vacc 15.0kV Mag x30 WD 7.0mm LensMode 4;1;0;17500000;17500000;0;0;0;NA;0;0;NA;NA;113.9;NA;***;15.0kV;x30;7.0mm;4;002i_CV_2_15v_x30_BSE.txt;002iCV;TRUE;15;30;TRUE;TRUE
003_CC_1_15v_x30;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/003_CC_1_15v_x30.tif;Sara;NONE;tif;003_CC_1_15v_x30.tif;003CC;NKBS;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/003_CC_1_15v_x30.txt;TM4000;01-Feb;NA;177008-10;TM4000 0001;NA;tif;003_CC_1_15v_x30.tif;C:\Sara\;08/03/2022;13:19:12;HD[Windows];2560x1920;1653.646;BSE;BSE;NA;15000 Volt;0 Volt;NA;30;10282.03 um;56000 nA;1000;0;30;1000000;0;NA;0 V;9230;Capture_Slow(80);NA;24;0;Grayscale;NA;Full Screen;003_CC_1_15v_x30;NA;NA;Vacc 15.0kV Mag x30 WD 10.3mm LensMode 3;1;0;17500000;17500000;0;0;0;NA;0;0;NA;NA;92.8;NA;***;15.0kV;x30;10.3mm;3;003_CC_1_15v_x30.txt;003CC;TRUE;15;30;TRUE;TRUE
